ID_Ativo,Frequencia_Falhas,Tempo_Operacao,Numero_Clientes_Afetados,Tipo_Ativo,Localidade,Historico_Manutencao,Impacto_DEC_FEC,Data_Evento,Frequencia_Falhas_Norm,Tempo_Operacao_Norm,Impacto_DEC_FEC_Norm,Numero_Clientes_Afetados_Norm,Criticidade,Criticidade_Cenário 1,Criticidade_Cenário 2
A-0143,1,30.7,200,Isolador,Zona Oeste,Não,7.97,2022-02-18,0.125,0.6407563025210085,0.16737109044801352,0.15789473684210525,0.24415206132281628,0.19257643107071543,0.29572769157491713
A-0144,1,10.2,100,Transformador,Zona Norte,Sim,6.58,2016-04-13,0.125,0.2100840336134454,0.13799661876584954,0.05263157894736842,0.1386789502471808,0.13017054688583624,0.14718735360852533
A-0145,3,22.4,200,Seccionalizador,Zona Norte,Sim,17.37,2011-12-09,0.375,0.4663865546218488,0.36601859678782755,0.15789473684210525,0.3688723636449286,0.35973370818274364,0.3780110191071134
A-0146,0,21.0,1000,Isolador,Zona Oeste,Sim,4.11,2020-03-03,0.0,0.43697478991596644,0.08579881656804735,1.0,0.2131346029536075,0.16943712396201085,0.2568320819452041
A-0147,1,11.3,200,Religador,Centro,Sim,7.56,2017-02-07,0.125,0.23319327731092443,0.15870667793744717,0.15789473684210525,0.16004013252762955,0.14922080479653713,0.170859460258722
A-0148,1,2.9,200,Cabo,Zona Oeste,Não,7.81,2024-05-11,0.125,0.05672268907563025,0.1639898562975486,0.15789473684210525,0.12633096838860114,0.13315869948103812,0.11950323729616417
A-0149,0,8.7,200,Transformador,Zona Norte,Não,2.6,2023-02-16,0.0,0.1785714285714286,0.053888419273034664,0.15789473684210525,0.06767028518040664,0.04981314232326378,0.08552742803754951
A-0150,1,4.5,1000,Seccionalizador,Zona Norte,Não,9.15,2021-11-20,0.125,0.09033613445378152,0.1923076923076923,1.0,0.225759534583064,0.22922592113768583,0.22229314802844213
A-0151,2,12.2,100,Isolador,Zona Norte,Não,10.51,2014-04-12,0.25,0.2521008403361345,0.2210481825866441,0.05263157894736842,0.22199778073795698,0.2217876967043435,0.2222078647715704
A-0152,0,10.8,200,Isolador,Zona Norte,Sim,0.6,2015-11-15,0.0,0.22268907563025217,0.01162299239222316,0.15789473684210525,0.0638141865279279,0.04154527896490269,0.08608309409095312
A-0153,3,9.8,500,Transformador,Centro,Sim,19.14,2021-03-03,0.375,0.20168067226890762,0.40342349957734575,0.47368421052631576,0.35873160537961685,0.3760635381527261,0.34139967260650755
A-0154,4,14.5,200,Cabo,Zona Sul,Não,25.0,2019-05-19,0.5,0.30042016806722693,0.5272612003381234,0.15789473684210525,0.43405186739909296,0.45400985059237026,0.4140938842058156
A-0155,4,10.5,50,Religador,Centro,Sim,16.84,2023-10-17,0.5,0.21638655462184878,0.35481825866441247,0.0,0.34972278852369354,0.3780841330615086,0.32136144398587835
A-0156,1,7.8,200,Cabo,Zona Oeste,Sim,5.58,2019-10-14,0.125,0.1596638655462185,0.11686390532544379,0.15789473684210525,0.13278141839108737,0.1293150318364655,0.1362478049457092
A-0157,1,2.7,50,Cabo,Zona Norte,Não,7.92,2023-06-09,0.125,0.05252100840336135,0.16631445477599324,0.0,0.11039853811347024,0.1176464372731341,0.10315063895380637
A-0158,0,4.9,200,Cabo,Centro,Sim,0.77,2023-02-04,0.0,0.09873949579831934,0.015215553677092137,0.15789473684210525,0.04010203894700204,0.030228089367170103,0.04997598852683397
A-0159,0,3.4,500,Transformador,Zona Sul,Não,3.13,2024-10-29,0.0,0.06722689075630252,0.0650887573964497,0.47368421052631576,0.08034042642282699,0.07361773734719675,0.08706311549845724
A-0160,4,15.1,100,Transformador,Centro,Sim,20.15,2016-01-25,0.5,0.31302521008403367,0.4247675401521555,0.05263157894736842,0.3952984619571902,0.41399594094878683,0.3766009829655936
A-0161,2,7.4,500,Religador,Zona Sul,Sim,13.07,2020-12-13,0.25,0.1512605042016807,0.2751479289940828,0.47368421052631576,0.26016490059119257,0.27003885017102447,0.2502909510113606
A-0162,1,9.9,50,Cabo,Zona Oeste,Sim,6.0,2020-03-01,0.125,0.20378151260504207,0.1257396449704142,0.0,0.12847819601213267,0.12060004475162847,0.13635634727263687
A-0163,1,5.6,500,Transformador,Zona Sul,Sim,6.29,2022-06-27,0.125,0.1134453781512605,0.13186813186813187,0.47368421052631576,0.15961793624332324,0.16077339842819718,0.1584624740584493
A-0164,3,17.7,200,Religador,Centro,Não,20.12,2019-11-14,0.375,0.36764705882352944,0.4241335587489434,0.15789473684210525,0.3665589530735994,0.3672942471912465,0.36582365895595237
A-0165,4,12.8,100,Religador,Zona Norte,Não,21.03,2018-07-31,0.5,0.26470588235294124,0.4433643279797126,0.05263157894736842,0.39121363275923887,0.4147430445239447,0.36768422099453296
A-0166,4,9.0,100,Cabo,Zona Sul,Não,19.16,2022-08-08,0.5,0.18487394957983197,0.40384615384615385,0.05263157894736842,0.3633917939645494,0.3949043990065662,0.3318791889225326
A-0167,3,8.0,1000,Seccionalizador,Zona Oeste,Não,21.91,2018-01-15,0.375,0.16386554621848742,0.4619611158072696,1.0,0.4213614439858784,0.4424748893640296,0.4002479986077271
A-0168,2,4.1,50,Cabo,Centro,Sim,10.1,2022-12-02,0.25,0.0819327731092437,0.21238377007607775,0.0,0.18010168564467208,0.1969084083337477,0.16329496295559642
A-0169,2,5.0,100,Seccionalizador,Zona Norte,Não,10.17,2023-07-16,0.25,0.10084033613445378,0.21386306001690616,0.05263157894736842,0.18959014312669945,0.20450610951325407,0.17467417674014482
A-0170,0,1.9,200,Religador,Zona Norte,Sim,1.34,2024-02-08,0.0,0.03571428571428572,0.027261200338123414,0.15789473684210525,0.031110690928504697,0.027539262357076124,0.034682119499933266
A-0171,4,13.0,200,Transformador,Centro,Sim,23.89,2014-09-20,0.5,0.26890756302521013,0.503803888419273,0.15789473684210525,0.4207121528150345,0.44382139651251346,0.39760290911755547
A-0172,2,13.8,200,Isolador,Zona Norte,Não,14.77,2017-05-17,0.25,0.28571428571428575,0.3110735418427726,0.15789473684210525,0.2662543933798995,0.26268296480847086,0.26982582195132804
A-0173,5,14.3,100,Religador,Zona Norte,Não,25.08,2020-04-27,0.625,0.29621848739495804,0.5289518174133558,0.05263157894736842,0.4731924005977352,0.5060705518582393,0.440314249337231
A-0174,2,3.6,100,Transformador,Zona Oeste,Não,12.82,2024-07-07,0.25,0.07142857142857144,0.2698647506339814,0.05263157894736842,0.20050829737064554,0.2183654402277884,0.1826511545135027
A-0175,0,21.4,100,Religador,Zona Oeste,Sim,4.38,2004-04-02,0.0,0.44537815126050423,0.09150464919695689,0.05263157894736842,0.12179018290592476,0.07725236777987433,0.16632799803197518
A-0176,3,6.4,100,Cabo,Zona Sul,Sim,14.93,2020-03-03,0.375,0.13025210084033614,0.3144547759932375,0.05263157894736842,0.27565001086077534,0.3001248007767417,0.25117522094480893
A-0177,5,11.9,200,Seccionalizador,Zona Norte,Não,30.55,2024-11-12,0.625,0.24579831932773114,0.6445477599323753,0.15789473684210525,0.5083134655294693,0.5462336335966962,0.47039329746224245
A-0178,1,2.6,500,Religador,Centro,Sim,10.0,2024-01-07,0.125,0.05042016806722689,0.21027049873203718,0.47368421052631576,0.17053360428568812,0.17799158747896543,0.1630756210924108
A-0179,0,18.3,100,Transformador,Zona Oeste,Sim,1.78,2007-03-06,0.0,0.3802521008403362,0.036559594251901945,0.05263157894736842,0.09228145633837467,0.05425624625434105,0.1303066664224083
A-0180,8,13.5,200,Cabo,Zona Oeste,Sim,47.37,2024-05-04,1.0,0.2794117647058824,1.0,0.15789473684210525,0.771671826625387,0.8437306501547988,0.6996130030959752
A-0181,1,6.6,200,Isolador,Zona Oeste,Sim,6.62,2020-10-31,0.125,0.13445378151260504,0.13884192730346576,0.15789473684210525,0.13433280817777127,0.13338743002651077,0.13527818632903177
A-0182,2,5.7,1000,Cabo,Zona Sul,Sim,15.09,2024-05-27,0.25,0.11554621848739498,0.31783601014370244,1.0,0.31846004674058975,0.33190542489185026,0.30501466858932924
A-0183,3,13.2,1000,Seccionalizador,Zona Norte,Não,24.59,2014-12-10,0.375,0.273109243697479,0.518596787827557,1.0,0.46020088508776297,0.47038996071801503,0.4500118094575108
A-0184,4,18.3,500,Cabo,Zona Oeste,Não,27.04,2022-06-01,0.5,0.3802521008403362,0.5703719357565511,0.47368421052631576,0.49453042194766417,0.5065052118636305,0.48255563203169777
A-0185,3,4.1,100,Isolador,Zona Norte,Não,15.5,2024-05-15,0.375,0.0819327731092437,0.3265004226542688,0.05263157894736842,0.26959983931286624,0.2989065620019418,0.24029311662379058
A-0186,0,7.7,50,Transformador,Zona Norte,Sim,0.89,2018-08-21,0.0,0.15756302521008406,0.01775147928994083,0.0,0.03683804882899906,0.021081746307990656,0.052594351350007465
A-0187,0,5.5,200,Religador,Zona Sul,Sim,3.83,2021-07-01,0.0,0.11134453781512606,0.07988165680473373,0.15789473684210525,0.06202287828865586,0.05088842450714325,0.07315733207016846
A-0188,3,18.9,100,Seccionalizador,Centro,Não,17.78,2024-10-20,0.375,0.3928571428571429,0.37468300929839393,0.05263157894736842,0.3462394892556836,0.3444537749699693,0.3480252035413979
A-0189,1,5.0,200,Isolador,Centro,Não,8.14,2021-07-23,0.125,0.10084033613445378,0.1709636517328825,0.15789473684210525,0.13724663643096605,0.13966260281752066,0.1348306700444114
A-0190,2,2.7,500,Seccionalizador,Zona Norte,Não,17.22,2024-01-07,0.25,0.05252100840336135,0.36284868977176665,0.47368421052631576,0.26672722966483386,0.2864751288244977,0.24697933050516999
A-0191,3,13.6,500,Cabo,Zona Norte,Não,20.24,2019-10-13,0.375,0.28151260504201686,0.42666948436179203,0.47368421052631576,0.3816717873695726,0.39102052686537087,0.37232304787377424
A-0192,5,20.3,500,Seccionalizador,Zona Oeste,Sim,32.18,2012-11-25,0.625,0.42226890756302526,0.6789940828402368,0.47368421052631576,0.5855204274173077,0.6057935366610051,0.5652473181736102
A-0193,2,13.1,200,Isolador,Centro,Não,13.99,2019-04-20,0.25,0.2710084033613446,0.2945900253592561,0.15789473684210525,0.25836816196425627,0.2562673216281218,0.2604690023003907
A-0194,3,17.3,200,Religador,Centro,Não,19.7,2015-09-27,0.375,0.35924369747899165,0.4152578191039729,0.15789473684210525,0.3622155589112007,0.36379118916330155,0.3606399286590999
A-0195,2,29.4,200,Religador,Centro,Sim,11.73,2020-08-10,0.25,0.6134453781512605,0.24683009298393913,0.15789473684210525,0.31252757720964436,0.2761830393945183,0.34887211502477045
A-0196,0,25.6,50,Seccionalizador,Centro,Não,0.38,2020-01-27,0.0,0.5336134453781514,0.006973795435333897,0.0,0.10881482770623044,0.05545348316841531,0.16217617224404557
A-0197,0,25.8,500,Transformador,Centro,Não,4.05,2013-08-15,0.0,0.5378151260504203,0.08453085376162299,0.47368421052631576,0.18029070239120254,0.1265091897861605,0.23407221499624453
A-0198,1,5.5,50,Seccionalizador,Zona Sul,Sim,8.81,2024-07-29,0.125,0.11134453781512606,0.18512256973795435,0.0,0.12780567848441152,0.1291712247028989,0.12644013226592413
A-0199,1,13.8,200,Cabo,Zona Norte,Sim,8.53,2022-02-27,0.125,0.28571428571428575,0.1792054099746407,0.15789473684210525,0.1766939538194599,0.1606225252480313,0.19276538239088847
A-0200,3,9.4,200,Religador,Zona Sul,Sim,17.3,2023-06-07,0.375,0.19327731092436978,0.36453930684699914,0.15789473684210525,0.31380672792318426,0.3319789968307472,0.2956344590156212
A-0201,1,9.3,200,Religador,Zona Oeste,Não,10.29,2016-05-23,0.125,0.19117647058823534,0.21639898562975482,0.15789473684210525,0.16894446349078404,0.1623268164319605,0.17556211054960758
A-0202,0,17.8,500,Religador,Zona Sul,Sim,4.47,2022-11-01,0.0,0.36974789915966394,0.09340659340659341,0.47368421052631576,0.14933997890654238,0.112365188990576,0.18631476882250878
A-0203,1,12.4,200,Transformador,Centro,Sim,7.87,2022-12-21,0.125,0.2563025210084034,0.16525781910397294,0.15789473684210525,0.1666273236170831,0.15349707151624276,0.17975757571792342
A-0204,1,7.9,500,Transformador,Centro,Sim,10.34,2023-09-29,0.125,0.16176470588235298,0.21745562130177512,0.47368421052631576,0.19495804861963473,0.19128157803139942,0.19863451920787
A-0205,0,4.8,100,Isolador,Zona Oeste,Não,4.08,2021-12-17,0.0,0.09663865546218488,0.08516483516483517,0.05263157894736842,0.05014033953662437,0.04047647399040588,0.05980420508284286
A-0206,1,12.5,200,Seccionalizador,Zona Norte,Não,9.98,2020-09-03,0.125,0.25840336134453784,0.20984784446322907,0.15789473684210525,0.18042449929208682,0.16708416315763303,0.1937648354265406
A-0207,2,7.3,500,Seccionalizador,Zona Oeste,Não,16.64,2019-06-06,0.25,0.14915966386554622,0.3505917159763314,0.47368421052631576,0.2823778686186402,0.2924619022320856,0.2722938350051949
A-0208,0,17.8,200,Cabo,Zona Oeste,Sim,3.22,2013-11-18,0.0,0.36974789915966394,0.06699070160608622,0.15789473684210525,0.10983626399796918,0.07286147408200279,0.14681105391393556
A-0209,2,17.4,1000,Religador,Zona Oeste,Não,16.86,2022-11-14,0.25,0.3613445378151261,0.3552409129332206,1.0,0.3788411814429914,0.36770672766147877,0.389975635224504
A-0210,2,11.2,100,Transformador,Zona Oeste,Não,11.57,2019-06-24,0.25,0.23109243697478996,0.2434488588334742,0.05263157894736842,0.2245163029397371,0.2264070592422581,0.22262554663721607
A-0211,3,3.3,200,Cabo,Zona Norte,Não,19.04,2024-04-09,0.375,0.06512605042016807,0.40131022823330514,0.15789473684210525,0.2992077522382357,0.3301951471962189,0.26822035728025245
A-0212,1,6.0,200,Cabo,Zona Norte,Não,9.28,2024-10-05,0.125,0.12184873949579833,0.19505494505494503,0.15789473684210525,0.1486757050998537,0.14899083115027387,0.14836057904943353
A-0213,2,26.5,1000,Transformador,Zona Oeste,Não,18.66,2013-04-06,0.25,0.5525210084033614,0.39327979712595096,1.0,0.42848814081845754,0.3982360399781214,0.4587402416587937
A-0214,2,12.2,100,Seccionalizador,Zona Norte,Não,11.57,2021-11-17,0.25,0.2521008403361345,0.2434488588334742,0.05263157894736842,0.22871798361200602,0.22850789957839254,0.22892806764561943
A-0215,3,20.2,500,Religador,Centro,Sim,21.52,2012-12-10,0.375,0.4201680672268908,0.4537193575655114,0.47368421052631576,0.4175178417676632,0.4130010350449741,0.4220346484903522
A-0216,1,3.5,200,Seccionalizador,Zona Sul,Não,7.53,2024-11-20,0.125,0.06932773109243698,0.158072696534235,0.15789473684210525,0.12707682886296842,0.13264405575372473,0.12150960197221211
A-0217,2,47.8,100,Cabo,Zona Norte,Não,12.57,1993-02-08,0.25,1.0,0.26458157227387996,0.05263157894736842,0.38463762957690084,0.30963762957690083,0.4596376295769008
A-0218,1,1.6,200,Religador,Zona Oeste,Não,8.45,2024-03-02,0.125,0.02941176470588236,0.17751479289940825,0.15789473684210525,0.12492626449520948,0.13448508802462122,0.11536744096579771
A-0219,0,12.3,200,Isolador,Zona Sul,Não,0.09,2020-01-25,0.0,0.25420168067226895,0.0008453085376162298,0.15789473684210525,0.06688340237994919,0.041463234312722294,0.09230357044717608
A-0220,1,1.4,200,Cabo,Zona Norte,Não,8.01,2024-05-11,0.125,0.025210084033613446,0.16821639898562976,0.15789473684210525,0.12129641018662214,0.1312754017832608,0.11131741858998348
A-0221,1,17.8,500,Seccionalizador,Zona Oeste,Sim,6.66,2023-09-23,0.125,0.36974789915966394,0.139687235841082,0.47368421052631576,0.21322417163688898,0.18874938172092257,0.23769896155285536
A-0222,5,4.1,200,Seccionalizador,Zona Oeste,Sim,26.65,2022-07-02,0.625,0.0819327731092437,0.5621301775147929,0.15789473684210525,0.45081508156049716,0.5051218042495728,0.3965083588714215
A-0223,3,7.4,200,Seccionalizador,Zona Sul,Não,19.87,2019-12-12,0.375,0.1512605042016807,0.4188503803888419,0.15789473684210525,0.32169668864119927,0.3440706382210312,0.2993227390613673
A-0224,0,10.7,200,Transformador,Centro,Não,1.29,2022-11-23,0.0,0.22058823529411767,0.026204564666103127,0.15789473684210525,0.067768490142865,0.045709666613453236,0.08982731367227675
A-0225,1,14.6,50,Cabo,Zona Norte,Sim,5.64,2022-08-31,0.125,0.3025210084033614,0.11813186813186813,0.0,0.14594376212023272,0.12819166127989656,0.16369586296056884
A-0226,2,7.3,100,Religador,Zona Sul,Sim,9.55,2020-10-15,0.25,0.14915966386554622,0.2007607776838546,0.05263157894736842,0.19532332397300248,0.20540735758644785,0.18523929035955708
A-0227,3,9.8,200,Seccionalizador,Centro,Não,16.81,2021-04-23,0.375,0.20168067226890762,0.3541842772612003,0.15789473684210525,0.31238089131635216,0.3297128240894614,0.29504895854324287
A-0228,1,10.3,200,Seccionalizador,Centro,Não,9.13,2024-02-01,0.125,0.21218487394957988,0.19188503803888418,0.15789473684210525,0.16579195988579176,0.15707347249083375,0.17451044728074974
A-0229,1,8.8,100,Transformador,Zona Sul,Não,7.08,2021-10-07,0.125,0.18067226890756308,0.1485629754860524,0.05263157894736842,0.13596650432206517,0.13039927743130886,0.14153373121282148
A-0230,1,7.2,200,Religador,Zona Norte,Não,9.71,2023-03-19,0.125,0.14705882352941177,0.20414201183431954,0.15789473684210525,0.15644384194038874,0.15423795958744757,0.1586497242933299
A-0231,1,5.6,200,Cabo,Zona Norte,Não,7.29,2024-10-26,0.125,0.1134453781512605,0.1530008453085376,0.15789473684210525,0.13437880290702392,0.13553426509189787,0.13322334072214995
A-0232,3,10.7,100,Isolador,Centro,Não,15.19,2018-11-30,0.375,0.22058823529411767,0.319949281487743,0.05263157894736842,0.2953655893998833,0.3108067658704715,0.27992441292929504
A-0233,4,10.5,200,Transformador,Zona Norte,Não,22.95,2017-01-19,0.5,0.21638655462184878,0.4839391377852916,0.15789473684210525,0.40424852594416777,0.4326098704819829,0.37588718140635263
A-0234,1,4.7,100,Cabo,Zona Sul,Não,8.18,2020-12-26,0.125,0.09453781512605043,0.17180896027049872,0.05263157894736842,0.12571340900109654,0.12875962748849148,0.12266719051370158
A-0235,3,7.2,1000,Isolador,Centro,Não,23.5,2024-10-13,0.375,0.14705882352941177,0.49556213017751477,1.0,0.4280804037591368,0.4508745214061956,0.40528628611207795
A-0236,2,1.4,500,Seccionalizador,Centro,Não,16.95,2024-02-05,0.25,0.025210084033613446,0.3571428571428571,0.47368421052631576,0.2595532950022114,0.28203228659885005,0.23707430340557273
A-0237,2,6.9,500,Seccionalizador,Zona Sul,Não,15.44,2024-09-13,0.25,0.14075630252100843,0.32523245984784444,0.47368421052631576,0.2730894195111866,0.28401378925908577,0.2621650497632874
A-0238,0,1.5,100,Religador,Zona Oeste,Sim,2.47,2024-10-02,0.0,0.027310924369747903,0.05114116652578192,0.05263157894736842,0.026067692726421,0.02333660028944621,0.028798785163395787
A-0239,2,5.7,500,Isolador,Zona Sul,Sim,16.36,2020-12-08,0.25,0.11554621848739498,0.34467455621301774,0.47368421052631576,0.2738800316140159,0.2873254097652764,0.2604346534627554
A-0240,1,3.3,500,Seccionalizador,Centro,Sim,10.95,2023-10-25,0.125,0.06512605042016807,0.23034657650042262,0.47368421052631576,0.179497604086792,0.18548499904477517,0.17351020912880877
A-0241,1,4.3,500,Seccionalizador,Zona Norte,Sim,8.0,2024-04-02,0.125,0.0861344537815126,0.1680050718512257,0.47368421052631576,0.16499683336430182,0.16888338798615055,0.16111027874245307
A-0242,1,20.7,100,Religador,Zona Oeste,Sim,5.86,2007-11-19,0.125,0.43067226890756305,0.12278106508875741,0.05263157894736842,0.1782319312028767,0.14766470431212037,0.20879915809363297
A-0243,0,2.9,200,Cabo,Centro,Sim,3.08,2023-06-11,0.0,0.05672268907563025,0.06403212172442942,0.15789473684210525,0.046343648016665406,0.040671379109102374,0.052015916924228425
A-0244,3,6.1,500,Seccionalizador,Zona Sul,Sim,21.14,2023-01-02,0.375,0.12394957983193278,0.4456889264581572,0.47368421052631576,0.35586501495646533,0.380970056973272,0.3307599729396586
A-0245,4,10.7,200,Transformador,Zona Norte,Não,26.16,2019-10-15,0.5,0.22058823529411767,0.5517751479289941,0.15789473684210525,0.4254396651217323,0.4533808415923205,0.397498488651144
A-0246,4,1.1,200,Transformador,Centro,Não,23.53,2024-02-25,0.5,0.01890756302521009,0.49619611158072696,0.15789473684210525,0.3684298197634706,0.4165390634609496,0.3203205760659916
A-0247,2,7.4,200,Cabo,Zona Oeste,Sim,10.98,2018-08-25,0.25,0.1512605042016807,0.2309805579036348,0.15789473684210525,0.21533574189563712,0.22520969147546904,0.20546179231580516
A-0248,0,10.0,200,Isolador,Zona Sul,Não,4.89,2017-10-30,0.0,0.20588235294117652,0.10228233305156381,0.15789473684210525,0.08765064418791498,0.06706240889379732,0.10823887948203262
A-0249,3,3.2,50,Religador,Zona Sul,Não,16.01,2023-08-22,0.375,0.06302521008403363,0.33727810650887574,0.0,0.2637884739694695,0.29498595296106606,0.23259099497787278
A-0250,2,2.1,200,Transformador,Centro,Não,11.5,2023-03-25,0.25,0.03991596638655463,0.2419695688926458,0.15789473684210525,0.1963635376293152,0.21737194099065973,0.17535513426797064
A-0251,1,14.5,50,Transformador,Centro,Não,8.45,2023-12-11,0.125,0.30042016806722693,0.17751479289940825,0.0,0.16333847148326786,0.14579645467654517,0.18088048828999054
A-0252,2,1.1,200,Cabo,Zona Norte,Sim,12.31,2024-01-09,0.25,0.01890756302521009,0.2590870667793745,0.15789473684210525,0.19729710632306488,0.22040635002054387,0.1741878626255859
A-0253,3,6.0,100,Isolador,Zona Norte,Sim,15.73,2021-03-16,0.375,0.12184873949579833,0.3313609467455621,0.05263157894736842,0.27904118981756515,0.3043563158679853,0.25372606376714496
A-0254,2,2.8,200,Isolador,Centro,Não,15.14,2023-05-23,0.25,0.0546218487394958,0.31889264581572274,0.15789473684210525,0.22238163717682652,0.24191945230287693,0.20284382205077608
A-0255,2,0.5,100,Cabo,Centro,Sim,11.88,2024-12-19,0.25,0.0063025210084033615,0.25,0.05263157894736842,0.18152366209641752,0.20589340999557718,0.15715391419725785
A-0256,4,18.0,200,Transformador,Centro,Não,21.9,2021-07-16,0.5,0.37394957983193283,0.46174978867286554,0.15789473684210525,0.42910432625245676,0.4417093682692635,0.41649928423565
A-0257,0,13.6,500,Religador,Zona Oeste,Sim,1.85,2018-04-30,0.0,0.28151260504201686,0.03803888419273035,0.47368421052631576,0.11508260731885406,0.08693134681465237,0.14323386782305575
A-0258,3,19.0,100,Transformador,Zona Sul,Sim,17.46,2006-07-06,0.375,0.39495798319327735,0.3679205409974641,0.05263157894736842,0.34463091683263153,0.3426351185133038,0.34662671515195925
A-0259,5,9.2,100,Isolador,Zona Oeste,Sim,23.95,2019-08-17,0.625,0.18907563025210086,0.5050718512256973,0.05263157894736842,0.44459983931286623,0.4881922762876561,0.4010074023380763
A-0260,1,2.8,100,Transformador,Centro,Sim,7.57,2024-04-17,0.125,0.0546218487394958,0.15891800507185125,0.05263157894736842,0.11386292916419138,0.1209007442902418,0.10682511403814096
A-0261,1,5.5,500,Religador,Zona Oeste,Não,9.69,2021-08-13,0.125,0.11134453781512606,0.20371935756551138,0.47368421052631576,0.18075313588531022,0.1821186821037976,0.1793875896668228
A-0262,3,2.0,200,Seccionalizador,Centro,Não,17.63,2023-01-11,0.375,0.03781512605042017,0.37151310228233303,0.15789473684210525,0.2848064295789945,0.31852491697395247,0.25108794218403646
A-0263,1,6.7,200,Transformador,Zona Norte,Sim,8.77,2019-07-31,0.125,0.1365546218487395,0.1842772612003381,0.15789473684210525,0.14838357641405986,0.1472281142291859,0.1495390385989338
A-0264,1,17.2,100,Cabo,Zona Oeste,Sim,9.04,2017-01-08,0.125,0.3571428571428572,0.18998309382924763,0.05263157894736842,0.18368665747208257,0.16047237175779686,0.20690094318636829
A-0265,2,5.5,200,Seccionalizador,Zona Norte,Sim,12.97,2021-12-24,0.25,0.11134453781512606,0.27303465765004226,0.15789473684210525,0.21996877854224842,0.23383432476073582,0.20610323232376102
A-0266,2,10.8,500,Cabo,Zona Norte,Sim,14.35,2024-04-17,0.25,0.22268907563025217,0.3021978021978022,0.47368421052631576,0.2825655768380227,0.28529666927499747,0.27983448440104786
A-0267,3,10.1,500,Cabo,Centro,Não,19.91,2024-09-12,0.375,0.20798319327731096,0.41969568892645814,0.47368421052631576,0.36487376638603125,0.3815754470583001,0.3481720857137623
A-0268,1,2.6,200,Cabo,Centro,Sim,8.32,2023-12-11,0.125,0.05042016806722689,0.17476754015215554,0.15789473684210525,0.12830376934330256,0.13576175253657988,0.12084578615002525
A-0269,3,2.6,50,Transformador,Zona Sul,Não,16.19,2023-05-12,0.375,0.05042016806722689,0.3410819949281488,0.0,0.26240863209189,0.29486661528516733,0.2299506488986127
A-0270,2,13.4,100,Isolador,Zona Sul,Não,10.85,2015-02-14,0.25,0.27731092436974797,0.22823330515638204,0.05263157894736842,0.22919533431560105,0.22646424187862624,0.23192642675257583
A-0271,2,3.8,50,Seccionalizador,Zona Sul,Sim,9.84,2024-03-18,0.25,0.07563025210084033,0.20688926458157225,0.0,0.17719282979463974,0.1946298045845557,0.15975585500472378
A-0272,6,11.2,100,Religador,Zona Norte,Não,29.72,2015-09-07,0.75,0.23109243697478996,0.6270076077768385,0.05263157894736842,0.5395839276227464,0.5914746839252674,0.4876931713202253
A-0273,3,3.7,100,Isolador,Zona Sul,Não,16.65,2023-10-09,0.375,0.07352941176470588,0.35080304311073535,0.05263157894736842,0.27520995318089864,0.30535701200442805,0.2450628943573692
A-0274,3,4.5,100,Transformador,Centro,Não,14.99,2024-07-14,0.375,0.09033613445378152,0.31572273879966184,0.05263157894736842,0.2680472064253917,0.29651359298001356,0.23958081987076985
A-0275,2,11.0,200,Cabo,Centro,Não,14.72,2022-11-27,0.25,0.22689075630252106,0.31001690617075234,0.15789473684210525,0.25417269679594046,0.25648362116568835,0.2518617724261925
A-0276,4,7.2,1000,Religador,Zona Oeste,Não,29.11,2020-08-13,0.5,0.14705882352941177,0.614116652578191,1.0,0.5136467604793397,0.5489408781263985,0.47835264283228085
A-0277,0,6.3,200,Seccionalizador,Centro,Não,3.53,2022-12-31,0.0,0.1281512605042017,0.073541842772612,0.15789473684210525,0.06348227861683448,0.0506671525664143,0.07629740466725463
A-0278,2,3.4,500,Isolador,Zona Sul,Sim,15.0,2021-12-27,0.25,0.06722689075630252,0.3159340659340659,0.47368421052631576,0.2555940189841119,0.2738713299084816,0.23731670805974212
A-0279,1,9.1,500,Isolador,Centro,Não,9.15,2020-03-10,0.125,0.18697478991596642,0.1923076923076923,0.47368421052631576,0.19245568672813254,0.1862582077365359,0.19865316571972919
A-0280,3,4.0,100,Religador,Zona Sul,Não,14.74,2021-09-13,0.375,0.07983193277310925,0.31043956043956045,0.05263157894736842,0.26436141258122686,0.2938782193039159,0.23484460585853775
A-0281,2,12.2,500,Transformador,Zona Sul,Não,16.11,2021-07-29,0.25,0.2521008403361345,0.3393913778529163,0.47368421052631576,0.2996060024757334,0.29939591844211993,0.2998160865093468
A-0282,1,3.5,100,Seccionalizador,Centro,Não,5.56,2022-10-27,0.125,0.06932773109243698,0.11644125105663566,0.05263157894736842,0.10406107943021493,0.10962830632097124,0.09849385253945864
A-0283,1,6.2,200,Religador,Centro,Não,5.87,2020-10-12,0.125,0.12605042016806725,0.12299239222316145,0.15789473684210525,0.1278972753847724,0.1277922333679657,0.12800231740157914
A-0284,3,12.3,200,Cabo,Zona Sul,Sim,18.64,2021-06-14,0.375,0.25420168067226895,0.39285714285714285,0.15789473684210525,0.3344869526758072,0.34656678460858026,0.32240712074303407
A-0285,1,10.4,1000,Seccionalizador,Zona Norte,Sim,10.46,2022-11-24,0.125,0.21428571428571433,0.21999154691462383,1.0,0.25885460693153,0.24992603550295858,0.26778317836010146
